vehicle_id,brand,model,battery_type,battery_capacity_kwh,production_date,risk_type,total_mileage_km
EV000392,GreenDrive,A2,NMC,70,2024-02-22,healthy,24827.9
EV000393,Aurora,A1,NMC,50,2024-02-24,mileage,32658.1
EV000394,GreenDrive,V1,LFP,80,2024-02-26,healthy,57559.4
EV000395,E-Motion,E3,NMC,70,2024-02-28,hot,38269.2
EV000396,E-Motion,A1,LFP,70,2024-03-01,hot,14248.9
EV000397,GreenDrive,G1,LFP,50,2024-03-03,healthy,20431.5
EV000398,E-Motion,G1,LFP,80,2024-03-05,charging,35417.1
EV000399,GreenDrive,V1,NMC,50,2024-03-07,hot,64898.1
EV000400,E-Motion,A2,LFP,70,2024-03-09,hot,46268.0
EV000401,Voltix,A1,NMC,50,2024-03-11,healthy,22939.6
EV000402,Voltix,V1,LFP,60,2024-03-13,healthy,36374.4
EV000403,GreenDrive,V2,LFP,50,2024-03-15,healthy,37871.2
EV000404,Aurora,A1,LFP,70,2024-03-17,healthy,6597.9
EV000405,GreenDrive,G1,NMC,80,2024-03-19,healthy,36140.3
EV000406,GreenDrive,A2,NMC,60,2024-03-21,hot,30442.3
EV000407,GreenDrive,V2,NMC,80,2024-03-23,healthy,34040.7
EV000408,Voltix,V2,NMC,50,2024-03-25,degraded,20648.4
EV000409,E-Motion,E3,NMC,50,2024-03-27,healthy,43518.0
EV000410,Voltix,V1,LFP,50,2024-03-29,degraded,29336.7
EV000411,Aurora,G1,LFP,50,2024-03-31,healthy,22861.1
EV000412,Voltix,A1,NMC,80,2024-04-02,charging,70145.8
EV000413,GreenDrive,V2,NMC,70,2024-04-04,charging,30050.2
EV000414,Voltix,E3,LFP,60,2024-04-06,hot,12207.1
EV000415,E-Motion,E3,NMC,50,2024-04-08,healthy,58769.2
EV000416,E-Motion,G1,NMC,80,2024-04-10,healthy,62209.6
EV000417,GreenDrive,G1,NMC,60,2024-04-12,degraded,19415.7
EV000418,E-Motion,A2,LFP,60,2024-04-14,mileage,28982.0
EV000419,Voltix,V1,NMC,60,2024-04-16,healthy,33544.7
EV000420,Voltix,A2,NMC,50,2024-04-18,mileage,29503.2
EV000421,E-Motion,A1,NMC,70,2024-04-20,healthy,11802.9
EV000422,Aurora,E3,NMC,70,2024-04-22,mileage,17280.7
EV000423,GreenDrive,G1,NMC,80,2024-04-24,hot,75207.2
EV000424,GreenDrive,V1,NMC,50,2024-04-26,degraded,25712.4
EV000425,Aurora,G1,LFP,80,2024-04-28,healthy,27095.5
EV000426,Aurora,A1,NMC,70,2024-04-30,healthy,50581.9
EV000427,GreenDrive,E3,NMC,70,2024-05-02,healthy,27998.9
EV000428,GreenDrive,A1,LFP,60,2024-05-04,healthy,24565.6
EV000429,Voltix,V2,LFP,60,2024-05-06,fault,17769.6
EV000430,Aurora,G1,LFP,80,2024-05-08,charging,46183.0
EV000431,Aurora,V1,NMC,60,2024-05-10,hot,40262.1
EV000432,E-Motion,E3,LFP,50,2024-05-12,healthy,56753.4
EV000433,GreenDrive,E3,LFP,60,2024-05-14,healthy,28900.6
EV000434,GreenDrive,V2,LFP,50,2024-05-16,fault,60018.1
EV000435,Aurora,V1,NMC,50,2024-05-18,healthy,39314.2
EV000436,E-Motion,A1,LFP,50,2024-05-20,healthy,27032.5
EV000437,GreenDrive,E3,NMC,80,2024-05-22,degraded,44819.2
EV000438,E-Motion,G1,NMC,80,2024-05-24,healthy,42843.4
EV000439,Voltix,V1,LFP,60,2024-05-26,healthy,41564.0
EV000440,Aurora,V1,LFP,60,2024-05-28,healthy,23025.3
EV000441,E-Motion,A2,NMC,80,2024-05-30,hot,34798.9
EV000442,GreenDrive,A2,LFP,70,2024-06-01,mileage,33082.8
EV000443,E-Motion,V2,NMC,60,2024-06-03,degraded,49789.2
EV000444,E-Motion,E3,NMC,60,2024-06-05,mileage,59731.2
EV000445,Aurora,G1,NMC,80,2024-06-07,healthy,51589.5
EV000446,GreenDrive,E3,NMC,50,2024-06-09,healthy,50073.5
EV000447,Voltix,V2,NMC,60,2024-06-11,degraded,56510.5
EV000448,GreenDrive,A1,LFP,50,2024-06-13,healthy,58830.6
EV000449,Aurora,A2,LFP,70,2024-06-15,hot,29651.7
EV000450,GreenDrive,V2,NMC,70,2024-06-17,hot,15681.8
EV000451,GreenDrive,V2,NMC,50,2024-06-19,fault,39551.0
EV000452,GreenDrive,V1,NMC,60,2024-06-21,healthy,63840.0
EV000453,Voltix,V2,LFP,50,2024-06-23,healthy,14108.8
EV000454,GreenDrive,G1,NMC,80,2024-06-25,hot,19438.9
EV000455,Voltix,E3,LFP,80,2024-06-27,healthy,37797.9
EV000456,E-Motion,A2,LFP,80,2024-06-29,healthy,26723.8
EV000457,Aurora,G1,LFP,60,2024-07-01,charging,54576.8
EV000458,E-Motion,A2,NMC,80,2024-07-03,degraded,38121.2
EV000459,Voltix,A1,NMC,60,2024-07-05,healthy,51868.4
EV000460,E-Motion,V2,LFP,50,2024-07-07,healthy,42109.9
EV000461,E-Motion,E3,LFP,50,2024-07-09,charging,44033.1
EV000462,E-Motion,G1,NMC,60,2024-07-11,mileage,15535.9
EV000463,Aurora,A1,NMC,70,2024-07-13,fault,25108.3
EV000464,E-Motion,V2,NMC,50,2024-07-15,mileage,1381.4
EV000465,Voltix,G1,LFP,80,2024-07-17,healthy,22871.2
EV000466,E-Motion,V2,LFP,80,2024-07-19,healthy,26883.7
EV000467,E-Motion,G1,LFP,60,2024-07-21,healthy,42912.4
EV000468,Aurora,A1,NMC,60,2024-07-23,hot,16030.2
EV000469,Voltix,A1,NMC,70,2024-07-25,healthy,68723.1
EV000470,Aurora,A2,LFP,60,2024-07-27,healthy,58710.9
EV000471,E-Motion,G1,NMC,70,2024-07-29,healthy,18451.5
EV000472,Voltix,E3,LFP,50,2024-07-31,hot,3663.8
EV000473,Aurora,E3,NMC,60,2024-08-02,healthy,7947.9
EV000474,Voltix,A1,NMC,50,2024-08-04,charging,42310.2
EV000475,GreenDrive,G1,LFP,70,2024-08-06,healthy,14522.8
EV000476,E-Motion,G1,LFP,80,2024-08-08,charging,31550.8
EV000477,Voltix,V1,NMC,80,2024-08-10,charging,46901.5
EV000478,GreenDrive,G1,LFP,70,2024-08-12,charging,43836.9
EV000479,E-Motion,A2,LFP,50,2024-08-14,healthy,50030.3
EV000480,Voltix,V2,NMC,60,2024-08-16,charging,13628.9
EV000481,Aurora,V2,LFP,60,2024-08-18,healthy,48670.9
EV000482,GreenDrive,A2,NMC,80,2024-08-20,healthy,49265.3
EV000483,Voltix,A2,LFP,60,2024-08-22,healthy,53925.3
EV000484,Voltix,G1,NMC,60,2024-08-24,mileage,51715.6
EV000485,Voltix,G1,NMC,60,2024-08-26,healthy,13919.5
EV000486,E-Motion,E3,NMC,80,2024-08-28,fault,1000.0
EV000487,Aurora,V1,LFP,80,2024-08-30,healthy,43459.5
EV000488,Aurora,E3,LFP,80,2024-09-01,mileage,65627.7
EV000489,E-Motion,G1,LFP,60,2024-09-03,charging,23026.8
EV000490,E-Motion,A1,NMC,50,2024-09-05,healthy,22834.7
EV000491,E-Motion,E3,NMC,70,2024-09-07,mileage,40042.9
EV000492,E-Motion,V2,NMC,60,2024-09-09,mileage,56388.7
EV000493,Aurora,V1,NMC,80,2024-09-11,degraded,50138.3
EV000494,GreenDrive,E3,LFP,50,2024-09-13,hot,15654.5
EV000495,GreenDrive,V2,LFP,70,2024-09-15,charging,29121.1
EV000496,Aurora,A2,LFP,60,2024-09-17,degraded,26814.5
EV000497,Voltix,E3,LFP,70,2024-09-19,mileage,47284.6
EV000498,E-Motion,A2,LFP,60,2024-09-21,healthy,50565.3
EV000499,Voltix,V1,NMC,50,2024-09-23,healthy,21103.7
EV000500,GreenDrive,V1,NMC,80,2024-09-25,healthy,22414.7
