fault_id,vehicle_id,fault_time,fault_type,fault_level,repair_status
FLT000407,EV000171,2025-07-14T08:00:00Z,none,low,resolved
FLT000408,EV000333,2025-07-14T16:00:00Z,none,low,pending
FLT000409,EV000046,2025-07-15T00:00:00Z,none,low,review
FLT000410,EV000211,2025-07-15T08:00:00Z,none,low,resolved
FLT000411,EV000435,2025-07-15T16:00:00Z,none,low,pending
FLT000412,EV000375,2025-07-16T00:00:00Z,none,high,review
FLT000413,EV000488,2025-07-16T08:00:00Z,none,low,pending
FLT000414,EV000150,2025-07-16T16:00:00Z,none,low,pending
FLT000415,EV000182,2025-07-17T00:00:00Z,battery_temperature,high,resolved
FLT000416,EV000119,2025-07-17T08:00:00Z,none,low,review
FLT000417,EV000188,2025-07-17T16:00:00Z,none,low,review
FLT000418,EV000274,2025-07-18T00:00:00Z,none,high,pending
FLT000419,EV000474,2025-07-18T08:00:00Z,charging_efficiency,low,pending
FLT000420,EV000044,2025-07-18T16:00:00Z,battery_temperature,high,review
FLT000421,EV000071,2025-07-19T00:00:00Z,none,low,review
FLT000422,EV000198,2025-07-19T08:00:00Z,none,low,review
FLT000423,EV000350,2025-07-19T16:00:00Z,none,high,review
FLT000424,EV000389,2025-07-20T00:00:00Z,none,low,review
FLT000425,EV000079,2025-07-20T08:00:00Z,none,low,review
FLT000426,EV000091,2025-07-20T16:00:00Z,charging_efficiency,low,review
FLT000427,EV000011,2025-07-21T00:00:00Z,none,high,resolved
FLT000428,EV000002,2025-07-21T08:00:00Z,battery_temperature,high,review
FLT000429,EV000448,2025-07-21T16:00:00Z,none,low,review
FLT000430,EV000301,2025-07-22T00:00:00Z,none,high,pending
FLT000431,EV000197,2025-07-22T08:00:00Z,charging_efficiency,low,pending
FLT000432,EV000089,2025-07-22T16:00:00Z,none,low,review
FLT000433,EV000103,2025-07-23T00:00:00Z,battery_temperature,high,review
FLT000434,EV000193,2025-07-23T08:00:00Z,none,low,resolved
FLT000435,EV000212,2025-07-23T16:00:00Z,none,low,pending
FLT000436,EV000461,2025-07-24T00:00:00Z,charging_efficiency,low,resolved
FLT000437,EV000129,2025-07-24T08:00:00Z,none,low,resolved
FLT000438,EV000078,2025-07-24T16:00:00Z,none,high,resolved
FLT000439,EV000131,2025-07-25T00:00:00Z,none,high,resolved
FLT000440,EV000163,2025-07-25T08:00:00Z,none,low,pending
FLT000441,EV000389,2025-07-25T16:00:00Z,none,low,resolved
FLT000442,EV000204,2025-07-26T00:00:00Z,none,high,pending
FLT000443,EV000384,2025-07-26T08:00:00Z,none,low,review
FLT000444,EV000451,2025-07-26T16:00:00Z,none,high,pending
FLT000445,EV000263,2025-07-27T00:00:00Z,none,low,pending
FLT000446,EV000106,2025-07-27T08:00:00Z,none,low,resolved
FLT000447,EV000377,2025-07-27T16:00:00Z,charging_efficiency,low,pending
FLT000448,EV000353,2025-07-28T00:00:00Z,none,low,review
FLT000449,EV000440,2025-07-28T08:00:00Z,none,low,pending
FLT000450,EV000400,2025-07-28T16:00:00Z,battery_temperature,high,resolved
FLT000451,EV000422,2025-07-29T00:00:00Z,none,low,review
FLT000452,EV000135,2025-07-29T08:00:00Z,none,low,resolved
FLT000453,EV000439,2025-07-29T16:00:00Z,none,low,resolved
FLT000454,EV000375,2025-07-30T00:00:00Z,none,high,resolved
FLT000455,EV000312,2025-07-30T08:00:00Z,charging_efficiency,low,pending
FLT000456,EV000407,2025-07-30T16:00:00Z,none,low,pending
FLT000457,EV000071,2025-07-31T00:00:00Z,none,low,pending
FLT000458,EV000355,2025-07-31T08:00:00Z,none,low,pending
FLT000459,EV000064,2025-07-31T16:00:00Z,none,low,resolved
FLT000460,EV000287,2025-08-01T00:00:00Z,none,high,resolved
FLT000461,EV000352,2025-08-01T08:00:00Z,none,high,pending
FLT000462,EV000176,2025-08-01T16:00:00Z,none,low,resolved
FLT000463,EV000118,2025-08-02T00:00:00Z,none,low,review
FLT000464,EV000058,2025-08-02T08:00:00Z,none,low,resolved
FLT000465,EV000126,2025-08-02T16:00:00Z,none,low,resolved
FLT000466,EV000064,2025-08-03T00:00:00Z,none,low,pending
FLT000467,EV000081,2025-08-03T08:00:00Z,none,low,pending
FLT000468,EV000079,2025-08-03T16:00:00Z,none,low,review
FLT000469,EV000396,2025-08-04T00:00:00Z,battery_temperature,high,review
FLT000470,EV000435,2025-08-04T08:00:00Z,none,low,pending
FLT000471,EV000008,2025-08-04T16:00:00Z,none,low,review
FLT000472,EV000330,2025-08-05T00:00:00Z,none,high,pending
FLT000473,EV000421,2025-08-05T08:00:00Z,none,low,pending
FLT000474,EV000284,2025-08-05T16:00:00Z,battery_temperature,high,review
FLT000475,EV000212,2025-08-06T00:00:00Z,none,low,pending
FLT000476,EV000343,2025-08-06T08:00:00Z,none,low,review
FLT000477,EV000216,2025-08-06T16:00:00Z,none,low,resolved
FLT000478,EV000415,2025-08-07T00:00:00Z,none,low,review
FLT000479,EV000037,2025-08-07T08:00:00Z,none,low,resolved
FLT000480,EV000282,2025-08-07T16:00:00Z,none,low,resolved
FLT000481,EV000148,2025-08-08T00:00:00Z,none,low,resolved
FLT000482,EV000493,2025-08-08T08:00:00Z,none,high,resolved
FLT000483,EV000408,2025-08-08T16:00:00Z,none,high,resolved
FLT000484,EV000091,2025-08-09T00:00:00Z,charging_efficiency,low,pending
FLT000485,EV000221,2025-08-09T08:00:00Z,none,low,review
FLT000486,EV000361,2025-08-09T16:00:00Z,battery_temperature,high,review
FLT000487,EV000273,2025-08-10T00:00:00Z,none,high,resolved
FLT000488,EV000385,2025-08-10T08:00:00Z,none,low,pending
FLT000489,EV000366,2025-08-10T16:00:00Z,none,low,resolved
FLT000490,EV000478,2025-08-11T00:00:00Z,charging_efficiency,low,review
FLT000491,EV000021,2025-08-11T08:00:00Z,none,low,review
FLT000492,EV000155,2025-08-11T16:00:00Z,battery_temperature,high,pending
FLT000493,EV000353,2025-08-12T00:00:00Z,none,low,resolved
FLT000494,EV000422,2025-08-12T08:00:00Z,none,low,pending
FLT000495,EV000137,2025-08-12T16:00:00Z,battery_temperature,high,pending
FLT000496,EV000415,2025-08-13T00:00:00Z,none,low,review
FLT000497,EV000114,2025-08-13T08:00:00Z,none,low,resolved
FLT000498,EV000409,2025-08-13T16:00:00Z,none,low,resolved
FLT000499,EV000341,2025-08-14T00:00:00Z,charging_efficiency,low,resolved
FLT000500,EV000160,2025-08-14T08:00:00Z,none,high,review
